name;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_LOGenergy;pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_LOGenergy_de;pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12];pcm_LOGenergy_de_de
'unknown';0.000000;2.791468e+01;-4.592549e+01;-1.552112e+01;1.418480e+01;-4.661435e+01;-1.240310e+01;1.388910e+01;-3.155874e+01;7.266030e-01;3.511747e+01;6.581496e+00;-1.192146e+01;1.892134e+01;1.190114e+00;-8.254570e-01;-5.066891e+00;-2.336282e+00;1.605244e-01;-2.098995e+00;6.430931e-01;-1.106359e+00;2.890665e+00;-3.402912e+00;-1.938123e+00;1.424645e+00;3.051983e-01;-1.775611e-01;-4.417392e-01;-4.402170e-01;-1.978295e-01;2.700148e-01;-9.233559e-01;7.875451e-01;1.737524e+00;-4.251321e-01;-4.187354e-01;-3.044507e-01;-6.387010e-01;1.855498e-01
'unknown';0.010000;3.175249e+01;-5.092699e+01;-2.481385e+01;1.146164e+01;-4.848879e+01;-1.527950e+01;1.536804e+01;-4.163350e+01;1.389129e+01;2.736369e+01;2.004103e+00;-4.075516e+00;1.923759e+01;9.685079e-01;-1.005767e+00;-6.526666e+00;-3.045219e+00;1.044788e+00;-4.257499e+00;2.261086e+00;3.143561e+00;2.850729e+00;-4.359327e+00;-2.095716e+00;4.685995e-01;7.495950e-01;-4.555556e-01;-7.011193e-01;2.369404e-01;1.894398e-01;4.102866e-01;-3.982606e-01;1.223351e+00;2.482505e+00;-1.175918e+00;-6.051750e-02;-4.880230e-01;-1.194453e+00;2.055643e-01
'unknown';0.020000;3.194634e+01;-4.755202e+01;-3.620921e+01;3.864966e+00;-4.487451e+01;-2.145988e+01;1.636510e+01;-3.205316e+01;8.597585e+00;2.197980e+01;-8.204207e-01;-8.721200e+00;2.028921e+01;4.131123e-01;-2.943998e+00;-6.538088e+00;-2.970962e+00;1.068467e+00;-5.636523e+00;3.771822e+00;5.456302e+00;7.849728e-01;-5.018382e+00;-3.381579e+00;-1.290837e+00;1.010749e+00;-7.559583e-01;-7.956538e-01;1.505560e+00;6.607311e-01;3.419892e-01;1.153216e+00;1.103432e+00;1.970461e+00;-1.282136e+00;6.954204e-01;-5.543443e-01;-1.223884e+00;8.891545e-02
'unknown';0.030000;3.074138e+01;-5.014106e+01;-3.781040e+01;4.118617e+00;-4.226033e+01;-2.916221e+01;2.395653e+01;-1.559373e+01;1.104476e+01;1.988967e+01;-1.961291e-01;-1.117859e+01;2.198538e+01;-6.991627e-01;-3.271783e+00;-3.146590e+00;-1.071744e+00;1.757986e+00;-2.321535e+00;5.195486e+00;8.024837e+00;-1.936081e+00;-2.897765e+00;-3.656509e+00;-3.189877e+00;9.802446e-01;-8.435694e-01;-5.276910e-01;2.342038e+00;9.091544e-01;-1.954691e-01;2.711612e+00;2.139695e-01;-1.330775e-01;-9.822329e-01;1.553502e+00;-8.861890e-01;-8.166169e-01;-1.395738e-01
'unknown';0.040000;3.048579e+01;-6.103845e+01;-4.171328e+01;3.001500e+00;-4.438625e+01;-3.364436e+01;2.845397e+01;-1.729712e+01;6.074734e+00;1.376258e+01;-9.226284e+00;-1.482410e+01;2.260119e+01;-1.755842e+00;-3.670718e+00;7.708725e-01;-1.936469e-02;1.513871e+00;2.699104e+00;4.693051e+00;6.305311e+00;-1.126612e+00;-6.565916e-01;-3.929448e+00;-2.865535e+00;6.344507e-01;-8.000375e-01;3.154696e-01;2.298269e+00;7.083859e-01;-3.191124e-01;2.904825e+00;-9.092106e-01;-1.113749e+00;1.179282e-01;1.937474e+00;-4.103203e-01;-1.111850e-01;-2.614271e-01
'unknown';0.050000;2.898695e+01;-6.054270e+01;-3.779476e+01;6.534651e+00;-3.994299e+01;-2.079493e+01;3.530103e+01;-8.887339e+00;5.472309e+00;1.698348e+01;-1.207551e+01;-1.697345e+01;2.298282e+01;-2.164862e+00;-3.280862e+00;1.529046e+00;2.475400e-02;-1.552597e-01;5.132747e+00;2.870319e+00;2.053668e+00;-1.104643e+00;1.227286e+00;-6.252727e+00;-2.827136e+00;2.398752e-01;-3.890401e-01;3.954905e-01;1.198392e+00;1.913727e-01;-7.279717e-01;9.817730e-01;-1.734567e+00;-1.671394e+00;1.174798e+00;1.272906e+00;-1.739931e-01;6.994058e-01;-2.580602e-01
'unknown';0.060000;2.404435e+01;-6.070480e+01;-3.236266e+01;2.560126e+00;-3.846382e+01;-1.214801e+01;3.415811e+01;-3.879800e+00;5.750750e+00;2.014994e+01;-1.452797e+01;-2.015144e+01;2.296275e+01;-2.854226e+00;-1.362110e+00;2.615440e+00;2.271905e-02;4.295277e-01;5.160462e+00;3.883530e-01;2.873142e+00;9.588947e-01;2.606463e+00;-4.135072e+00;-2.028132e+00;7.379837e-02;1.524291e-02;4.484504e-01;2.548422e-01;-3.481630e-02;-7.300801e-01;-1.091102e+00;-1.682528e+00;-7.906850e-01;1.515569e+00;2.570565e-01;1.704703e-01;9.567181e-01;-1.697546e-01
'unknown';0.070000;2.313780e+01;-6.671220e+01;-3.484048e+01;4.463074e+00;-4.599784e+01;-1.424666e+01;3.545606e+01;-1.203405e+01;5.683533e+00;2.283242e+01;-2.880892e+01;-2.265060e+01;2.300398e+01;-2.095171e+00;-2.448634e+00;1.923087e+00;-1.359219e-01;-1.339700e+00;1.356651e+00;-1.325001e+00;1.383953e+00;2.895156e+00;1.835240e+00;-4.423663e+00;-1.115486e-01;-2.973022e-02;4.397386e-01;1.626870e-01;1.303396e-01;-1.121457e-01;-8.868642e-01;-1.993893e+00;-1.168619e+00;1.289047e-01;1.333510e+00;-8.388916e-01;6.178623e-01;1.205519e+00;-8.837219e-02
'unknown';0.080000;1.913924e+01;-6.476425e+01;-3.011323e+01;4.150884e+00;-3.921118e+01;-1.111619e+01;3.031822e+01;-1.358054e+00;1.076360e+01;2.387042e+01;-2.153494e+01;-2.212619e+01;2.295960e+01;-1.714473e+00;-1.844580e+00;1.848063e+00;-1.131083e-01;-1.544309e+00;-8.683580e-01;-1.621931e+00;2.686744e+00;4.451332e+00;3.247143e-01;-3.991628e+00;5.602619e-01;-7.951965e-02;9.255685e-01;-1.119844e-01;1.168135e-01;6.690295e-02;-1.626848e+00;-1.958665e+00;-6.510000e-01;-1.357308e-01;4.323742e-01;-1.066118e+00;5.668052e-01;1.164803e+00;-4.347246e-02
'unknown';0.090000;2.096365e+01;-7.075614e+01;-2.930404e+01;5.059663e+00;-4.626781e+01;-1.452759e+01;3.059597e+01;-3.228446e+00;1.744167e+01;2.429944e+01;-3.069034e+01;-1.654382e+01;2.283574e+01;-5.360453e-01;-2.226192e+00;2.564433e+00;-4.680607e-01;-3.602662e+00;-1.822310e+00;-1.967632e+00;2.791391e+00;3.816690e+00;-1.826297e+00;-3.235137e+00;1.906261e+00;-1.253267e-01;9.331664e-01;4.855856e-01;2.592572e-01;2.630163e-01;-1.455276e+00;-1.267677e+00;-2.506869e-01;-2.392624e-01;-6.764170e-01;-6.527602e-01;1.525966e+00;7.960013e-01;-1.002724e-02
